<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
1/30/2026,02:00:00,6986.75,6988.50,6977.75,6980.00,3648
1/30/2026,02:15:00,6980.00,6988.25,6975.75,6987.50,7157
1/30/2026,02:30:00,6987.25,6993.00,6982.75,6988.00,5517
1/30/2026,02:45:00,6987.75,6988.00,6976.00,6983.00,5754
1/30/2026,03:00:00,6983.00,6995.25,6980.25,6990.75,4385
1/30/2026,03:15:00,6991.25,6995.00,6981.00,6982.50,5080
1/30/2026,03:30:00,6982.50,6986.50,6979.00,6981.75,3526
1/30/2026,03:45:00,6981.75,6985.50,6977.75,6979.25,3262
1/30/2026,04:00:00,6979.25,6980.00,6967.25,6976.25,8039
1/30/2026,04:15:00,6976.00,6985.00,6975.75,6983.50,4033
1/30/2026,04:30:00,6983.75,6985.75,6979.50,6981.75,3265
1/30/2026,04:45:00,6981.75,6993.00,6981.75,6990.25,4649
1/30/2026,05:00:00,6990.25,6993.50,6987.25,6988.25,3245
1/30/2026,05:15:00,6988.75,6998.25,6988.00,6998.00,3985
1/30/2026,05:30:00,6998.25,7002.75,6997.00,7002.50,4486
1/30/2026,05:45:00,7002.50,7010.50,7001.75,7008.00,5247
1/30/2026,06:00:00,7008.00,7020.75,6999.75,7018.50,10020
1/30/2026,06:15:00,7018.50,7025.50,7014.75,7016.75,7838
1/30/2026,06:30:00,7016.75,7020.25,7012.75,7015.75,5194
1/30/2026,06:45:00,7015.50,7021.75,7011.50,7012.00,4816
1/30/2026,07:00:00,7012.00,7016.50,7006.50,7011.25,7318
1/30/2026,07:15:00,7011.00,7019.75,7009.00,7018.50,5871
1/30/2026,07:30:00,7018.50,7019.75,7008.00,7015.50,4765
1/30/2026,07:45:00,7013.00,7013.00,6997.00,7011.50,11454
1/30/2026,08:00:00,7011.75,7012.50,7004.50,7006.75,7327
1/30/2026,08:15:00,7006.75,7015.50,7004.50,7014.00,11076
1/30/2026,08:30:00,7013.75,7017.75,7010.25,7016.00,10633
1/30/2026,08:45:00,7016.00,7035.25,7011.25,7024.50,64713
1/30/2026,09:00:00,7024.25,7031.25,7010.00,7015.00,52611
1/30/2026,09:15:00,7014.75,7038.75,7014.25,7032.75,52677
1/30/2026,09:30:00,7032.75,7036.25,7010.25,7011.75,44321
1/30/2026,09:45:00,7011.75,7036.00,7006.75,7033.00,49351
1/30/2026,10:00:00,7033.00,7040.50,7017.25,7019.25,39049
1/30/2026,10:15:00,7019.00,7025.25,7013.75,7017.50,31594
1/30/2026,10:30:00,7017.50,7017.75,7000.25,7008.25,44976
1/30/2026,10:45:00,7008.50,7022.25,7006.25,7016.75,40049
1/30/2026,11:00:00,7016.75,7017.25,7001.25,7004.25,31389
1/30/2026,11:15:00,7004.50,7005.50,6984.75,6988.75,46189
1/30/2026,11:30:00,6988.75,7009.75,6986.50,7008.75,37598
1/30/2026,11:45:00,7008.50,7013.25,6993.25,7002.75,35371
1/30/2026,12:00:00,7003.00,7009.25,6988.75,6989.25,30298
1/30/2026,12:15:00,6989.00,7000.25,6986.25,6989.75,25613
1/30/2026,12:30:00,6989.75,6993.00,6968.50,6992.25,47479
1/30/2026,12:45:00,6992.25,6994.50,6975.75,6986.25,33552
1/30/2026,13:00:00,6986.00,7018.75,6985.25,7011.75,40042
1/30/2026,13:15:00,7011.75,7025.00,7011.25,7017.50,33369
1/30/2026,13:30:00,7017.50,7024.75,7010.50,7011.00,23216
1/30/2026,13:45:00,7011.00,7018.25,7003.25,7010.50,30545
1/30/2026,14:00:00,7010.25,7020.75,7002.00,7003.25,26185
1/30/2026,14:15:00,7003.25,7010.00,6997.00,6997.75,21813
1/30/2026,14:30:00,6997.75,7002.50,6990.50,6997.75,27361
1/30/2026,14:45:00,6998.25,7011.00,6997.00,7009.50,24907
1/30/2026,15:00:00,7009.50,7026.50,7006.00,7017.75,61177
1/30/2026,15:15:00,7017.50,7023.25,7007.25,7013.25,13645
1/30/2026,15:30:00,7013.00,7019.50,7011.75,7013.00,3542
1/30/2026,15:45:00,7013.00,7014.00,7007.25,7008.25,2736
1/30/2026,16:00:00,7008.00,7013.50,7007.25,7011.00,3282
2/1/2026,17:15:00,6989.25,6995.00,6969.75,6978.25,22957
2/1/2026,17:30:00,6978.25,6982.25,6967.50,6979.25,11529
2/1/2026,17:45:00,6979.25,6999.75,6977.00,6997.75,12389
2/1/2026,18:00:00,6998.00,7002.25,6995.00,6996.50,7721
2/1/2026,18:15:00,6996.25,7004.25,6987.50,7001.75,10031
2/1/2026,18:30:00,7001.50,7010.25,7000.50,7006.25,7908
2/1/2026,18:45:00,7006.50,7015.25,7003.75,7012.25,7011
2/1/2026,19:00:00,7012.00,7013.75,7007.75,7008.25,3872
2/1/2026,19:15:00,7008.50,7012.75,6982.00,6986.25,12258
2/1/2026,19:30:00,6986.00,6995.00,6983.00,6991.00,9059
2/1/2026,19:45:00,6991.25,6992.00,6977.25,6978.50,11012
2/1/2026,20:00:00,6978.25,6980.00,6965.25,6967.00,12293
2/1/2026,20:15:00,6967.25,6974.25,6961.75,6968.75,9546
2/1/2026,20:30:00,6968.75,6973.00,6963.25,6967.00,7636
2/1/2026,20:45:00,6966.75,6972.25,6962.25,6968.00,5587
2/1/2026,21:00:00,6967.75,6969.00,6954.75,6956.25,8378
2/1/2026,21:15:00,6956.25,6959.75,6945.25,6950.25,6448
2/1/2026,21:30:00,6950.00,6954.75,6946.25,6948.25,6474
2/1/2026,21:45:00,6948.00,6950.00,6935.75,6939.75,10320
2/1/2026,22:00:00,6939.25,6944.25,6932.75,6935.50,9087
2/1/2026,22:15:00,6936.00,6937.00,6922.25,6929.00,11372
2/1/2026,22:30:00,6929.25,6942.50,6927.25,6938.25,8075
2/1/2026,22:45:00,6938.25,6952.25,6938.00,6950.75,6759
2/1/2026,23:00:00,6950.50,6951.50,6944.75,6946.75,3506
2/1/2026,23:15:00,6946.75,6947.50,6937.50,6941.50,5160
2/1/2026,23:30:00,6941.50,6943.75,6933.25,6934.50,4067
2/1/2026,23:45:00,6934.50,6935.50,6927.50,6931.00,6135
2/2/2026,00:00:00,6931.00,6937.00,6927.00,6930.50,5251
2/2/2026,00:15:00,6930.25,6935.00,6923.50,6923.75,4715
2/2/2026,00:30:00,6923.75,6927.50,6918.50,6926.75,8093
2/2/2026,00:45:00,6926.50,6929.00,6914.00,6925.00,6791
2/2/2026,01:00:00,6925.00,6926.25,6917.50,6925.00,5020
2/2/2026,01:15:00,6925.00,6938.75,6924.50,6931.75,8481
2/2/2026,01:30:00,6931.75,6939.25,6927.75,6938.50,3999
2/2/2026,01:45:00,6938.50,6942.50,6934.50,6937.25,4138
2/2/2026,02:00:00,6937.25,6947.00,6936.75,6946.50,4376
2/2/2026,02:15:00,6946.25,6956.25,6944.75,6952.75,8114
2/2/2026,02:30:00,6952.50,6960.50,6951.50,6957.25,6218
2/2/2026,02:45:00,6957.25,6967.50,6956.50,6965.00,5909
2/2/2026,03:00:00,6965.50,6970.75,6964.00,6967.25,3917
2/2/2026,03:15:00,6967.25,6968.00,6957.00,6962.75,7567
2/2/2026,03:30:00,6963.00,6977.50,6959.00,6972.75,6922
2/2/2026,03:45:00,6972.75,6978.50,6971.25,6974.00,3829
2/2/2026,04:00:00,6974.00,6977.50,6973.00,6975.00,2394
2/2/2026,04:15:00,6975.25,6979.50,6971.50,6973.75,3489
2/2/2026,04:30:00,6974.00,6977.25,6972.00,6974.25,2438
2/2/2026,04:45:00,6974.00,6976.50,6965.25,6966.75,4723
2/2/2026,05:00:00,6967.25,6968.75,6964.25,6967.00,2731
2/2/2026,05:15:00,6967.00,6976.00,6965.50,6976.00,3111
2/2/2026,05:30:00,6976.00,6982.00,6972.00,6982.00,3544
2/2/2026,05:45:00,6981.50,6984.25,6978.25,6982.50,4206
2/2/2026,06:00:00,6982.75,6987.00,6980.00,6981.75,4232
2/2/2026,06:15:00,6981.25,6988.25,6980.75,6986.00,4048
2/2/2026,06:30:00,6986.00,6992.50,6985.25,6991.75,5017
2/2/2026,06:45:00,6991.50,6994.50,6990.75,6993.50,3954
2/2/2026,07:00:00,6993.50,6994.25,6984.25,6986.25,5568
2/2/2026,07:15:00,6986.00,6987.50,6979.75,6987.25,7171
2/2/2026,07:30:00,6987.50,6988.75,6982.75,6983.25,5218
2/2/2026,07:45:00,6983.25,6987.25,6979.50,6987.25,5525
2/2/2026,08:00:00,6987.00,6994.75,6986.50,6992.00,6218
2/2/2026,08:15:00,6992.25,6996.75,6991.00,6995.50,8437
2/2/2026,08:30:00,6995.50,6996.75,6992.50,6993.50,9165
2/2/2026,08:45:00,6993.25,7025.25,6991.25,7023.25,77183
2/2/2026,09:00:00,7023.50,7036.25,7019.50,7023.75,56872
2/2/2026,09:15:00,7023.75,7050.25,7020.50,7048.75,52763
2/2/2026,09:30:00,7048.75,7054.75,7043.25,7044.50,39954
2/2/2026,09:45:00,7044.75,7055.25,7042.00,7049.00,34153
2/2/2026,10:00:00,7048.50,7049.75,7041.00,7045.00,29102
2/2/2026,10:15:00,7044.75,7049.00,7036.50,7048.25,32329
2/2/2026,10:30:00,7048.00,7054.50,7046.50,7053.00,20962
2/2/2026,10:45:00,7053.00,7053.25,7046.25,7048.75,16937
2/2/2026,11:00:00,7049.00,7056.25,7042.25,7055.00,23057
2/2/2026,11:15:00,7055.00,7063.00,7054.00,7059.50,24972
2/2/2026,11:30:00,7059.25,7061.75,7056.75,7060.00,13701
2/2/2026,11:45:00,7059.75,7063.75,7058.00,7060.25,13287
2/2/2026,12:00:00,7060.25,7067.25,7060.00,7061.75,15957
2/2/2026,12:15:00,7061.75,7066.00,7059.75,7060.00,11635
2/2/2026,12:30:00,7060.00,7060.75,7053.75,7058.00,16916
2/2/2026,12:45:00,7058.00,7063.00,7057.75,7061.75,11924
2/2/2026,13:00:00,7062.00,7065.25,7061.75,7062.75,10322
2/2/2026,13:15:00,7062.50,7066.50,7061.25,7064.75,9889
2/2/2026,13:30:00,7064.75,7066.25,7063.75,7065.75,8047
2/2/2026,13:45:00,7065.50,7065.75,7059.25,7063.25,15449
2/2/2026,14:00:00,7063.25,7065.75,7051.00,7052.75,23658
2/2/2026,14:15:00,7052.75,7062.50,7047.75,7055.25,31397
2/2/2026,14:30:00,7055.25,7060.00,7052.00,7055.50,17920
2/2/2026,14:45:00,7055.25,7056.75,7049.75,7050.25,17073
2/2/2026,15:00:00,7050.25,7055.75,7048.25,7052.75,38956
2/2/2026,15:15:00,7052.75,7057.00,7047.25,7054.25,16420
2/2/2026,15:30:00,7054.50,7055.75,7051.75,7054.00,3237
2/2/2026,15:45:00,7054.00,7055.75,7052.00,7052.50,4644
2/2/2026,16:00:00,7052.50,7054.50,7051.50,7052.75,3636
2/2/2026,17:15:00,7054.00,7066.50,7052.25,7061.50,7665
2/2/2026,17:30:00,7061.75,7065.25,7061.25,7064.25,2543
2/2/2026,17:45:00,7064.50,7072.25,7063.25,7068.25,7018
2/2/2026,18:00:00,7068.00,7068.75,7064.50,7065.50,2807
2/2/2026,18:15:00,7065.00,7066.25,7059.25,7064.50,4960
2/2/2026,18:30:00,7064.75,7073.00,7063.50,7070.50,4760
2/2/2026,18:45:00,7070.50,7071.75,7067.00,7068.50,2410
2/2/2026,19:00:00,7068.25,7068.75,7065.50,7068.25,1996
2/2/2026,19:15:00,7068.00,7072.00,7066.75,7071.50,2528
2/2/2026,19:30:00,7071.50,7073.25,7069.75,7070.50,2232
2/2/2026,19:45:00,7070.00,7070.50,7066.50,7069.25,2243
2/2/2026,20:00:00,7069.25,7069.50,7064.75,7067.25,2283
2/2/2026,20:15:00,7067.00,7067.00,7061.25,7062.50,2687
2/2/2026,20:30:00,7062.25,7066.75,7061.50,7062.00,2581
2/2/2026,20:45:00,7062.00,7062.75,7057.75,7059.75,3057
2/2/2026,21:00:00,7059.50,7063.50,7058.00,7062.50,2994
2/2/2026,21:15:00,7062.25,7066.00,7061.00,7061.75,2531
2/2/2026,21:30:00,7061.75,7066.00,7060.25,7064.50,2027
2/2/2026,21:45:00,7064.50,7068.00,7062.50,7068.00,1732
2/2/2026,22:00:00,7068.00,7068.50,7065.50,7067.25,1581
2/2/2026,22:15:00,7067.25,7070.50,7067.25,7068.50,1427
2/2/2026,22:30:00,7068.50,7068.75,7066.25,7067.75,1095
2/2/2026,22:45:00,7067.75,7071.50,7067.75,7071.25,1582
2/2/2026,23:00:00,7071.25,7072.75,7070.25,7072.00,1224
2/2/2026,23:15:00,7072.00,7072.25,7065.75,7066.75,1972
2/2/2026,23:30:00,7067.00,7070.00,7066.00,7068.00,1229
2/2/2026,23:45:00,7068.25,7070.50,7067.25,7069.75,992
2/3/2026,00:00:00,7069.75,7073.25,7069.50,7071.00,1512
2/3/2026,00:15:00,7071.25,7073.25,7068.75,7073.00,1306
2/3/2026,00:30:00,7072.75,7074.00,7071.00,7071.00,1658
2/3/2026,00:45:00,7071.00,7074.50,7070.00,7073.50,1916
2/3/2026,01:00:00,7073.50,7073.75,7071.00,7071.50,909
2/3/2026,01:15:00,7071.25,7073.75,7070.75,7072.25,1783
2/3/2026,01:30:00,7072.50,7073.00,7068.50,7070.25,1469
2/3/2026,01:45:00,7070.25,7073.75,7069.50,7073.50,1682
2/3/2026,02:00:00,7073.75,7075.75,7073.00,7073.25,2404
2/3/2026,02:15:00,7073.00,7077.00,7069.00,7076.25,4936
2/3/2026,02:30:00,7076.25,7076.75,7072.25,7072.25,2105
2/3/2026,02:45:00,7072.00,7072.50,7068.00,7070.50,2491
2/3/2026,03:00:00,7070.25,7070.75,7065.75,7067.50,2124
2/3/2026,03:15:00,7067.25,7073.00,7066.75,7067.00,3017
2/3/2026,03:30:00,7067.25,7069.00,7064.00,7064.50,2847
2/3/2026,03:45:00,7065.25,7067.00,7062.00,7064.25,2363
2/3/2026,04:00:00,7064.25,7065.50,7061.75,7064.00,1710
2/3/2026,04:15:00,7064.00,7068.00,7064.00,7066.00,2260
2/3/2026,04:30:00,7066.25,7067.25,7063.50,7064.25,1789
2/3/2026,04:45:00,7064.00,7064.00,7059.75,7060.75,2378
2/3/2026,05:00:00,7060.50,7062.50,7060.00,7061.00,1752
2/3/2026,05:15:00,7061.00,7062.50,7058.25,7061.50,3511
2/3/2026,05:30:00,7061.25,7063.25,7059.50,7060.50,2575
2/3/2026,05:45:00,7060.25,7060.75,7056.75,7060.25,3427
2/3/2026,06:00:00,7060.25,7061.75,7057.00,7060.75,2625
2/3/2026,06:15:00,7060.50,7066.25,7057.75,7066.00,4488
2/3/2026,06:30:00,7066.25,7070.25,7064.50,7069.50,4257
2/3/2026,06:45:00,7069.25,7072.00,7068.75,7071.00,2976
2/3/2026,07:00:00,7071.00,7073.00,7069.00,7069.75,3933
2/3/2026,07:15:00,7069.75,7071.25,7067.50,7068.25,4006
2/3/2026,07:30:00,7068.50,7070.50,7065.50,7069.50,4048
2/3/2026,07:45:00,7069.75,7071.50,7065.50,7066.00,4164
2/3/2026,08:00:00,7066.00,7067.75,7064.50,7065.00,4482
2/3/2026,08:15:00,7065.00,7066.50,7061.00,7061.75,7302
2/3/2026,08:30:00,7061.75,7062.00,7057.25,7059.00,10078
2/3/2026,08:45:00,7059.25,7066.75,7045.50,7048.50,75411
2/3/2026,09:00:00,7048.50,7058.50,7029.75,7031.75,69052
2/3/2026,09:15:00,7031.75,7033.75,7012.25,7015.50,82477
2/3/2026,09:30:00,7015.50,7025.50,7004.00,7018.00,73232
2/3/2026,09:45:00,7018.00,7022.25,7006.75,7009.75,50459
2/3/2026,10:00:00,7009.75,7030.75,7005.25,7027.75,60941
2/3/2026,10:15:00,7027.75,7028.50,7015.00,7016.50,42440
2/3/2026,10:30:00,7016.50,7020.25,7002.50,7004.00,46456
2/3/2026,10:45:00,7004.25,7010.50,7000.00,7006.00,40054
2/3/2026,11:00:00,7005.75,7010.75,6998.75,7002.50,33122
2/3/2026,11:15:00,7002.50,7003.75,6982.00,6987.25,52890
2/3/2026,11:30:00,6987.00,6997.50,6984.00,6984.25,40034
2/3/2026,11:45:00,6984.25,6985.50,6969.75,6972.25,45655
2/3/2026,12:00:00,6972.25,6983.50,6970.50,6973.00,38456
2/3/2026,12:15:00,6972.75,6981.25,6959.75,6963.00,45815
2/3/2026,12:30:00,6962.75,6969.50,6958.25,6959.50,37761
2/3/2026,12:45:00,6959.25,6960.00,6952.25,6953.50,33099
2/3/2026,13:00:00,6953.25,6955.75,6944.00,6944.25,31874
2/3/2026,13:15:00,6944.25,6960.50,6936.00,6959.75,57829
2/3/2026,13:30:00,6959.75,6968.25,6952.75,6958.00,56005
2/3/2026,13:45:00,6957.75,6964.75,6953.75,6957.25,36611
2/3/2026,14:00:00,6957.25,6966.75,6947.00,6964.25,44038
2/3/2026,14:15:00,6964.00,6966.75,6958.50,6966.50,25290
2/3/2026,14:30:00,6966.25,6974.25,6961.75,6971.25,32734
2/3/2026,14:45:00,6971.50,6988.25,6971.00,6982.00,39663
2/3/2026,15:00:00,6982.00,6993.75,6980.25,6990.75,46301
2/3/2026,15:15:00,6990.50,6994.75,6987.75,6991.25,16779
2/3/2026,15:30:00,6991.50,6995.75,6981.50,6990.00,10125
2/3/2026,15:45:00,6989.75,6990.25,6984.00,6987.25,5862
2/3/2026,16:00:00,6987.50,6989.00,6983.50,6988.25,3925
2/3/2026,17:15:00,6985.50,6991.50,6981.25,6991.00,5777
2/3/2026,17:30:00,6991.00,6994.25,6983.50,6985.00,4827
2/3/2026,17:45:00,6985.00,6987.25,6983.50,6987.25,2026
2/3/2026,18:00:00,6987.00,6993.00,6984.75,6992.25,3142
2/3/2026,18:15:00,6992.25,6993.50,6984.75,6986.75,4318
2/3/2026,18:30:00,6987.00,6992.25,6986.50,6988.25,2713
2/3/2026,18:45:00,6988.00,6992.25,6986.00,6987.50,2019
2/3/2026,19:00:00,6987.50,6989.00,6983.25,6983.75,2602
2/3/2026,19:15:00,6984.00,6994.75,6984.00,6994.25,4844
2/3/2026,19:30:00,6994.00,6996.25,6992.50,6995.00,2929
2/3/2026,19:45:00,6995.00,6996.50,6991.00,6992.75,2403
2/3/2026,20:00:00,6992.75,6995.25,6990.00,6994.00,2240
2/3/2026,20:15:00,6994.50,7001.00,6994.50,6998.00,4738
2/3/2026,20:30:00,6998.25,6999.75,6991.25,6993.25,2576
2/3/2026,20:45:00,6993.25,6995.25,6989.50,6993.25,2259
2/3/2026,21:00:00,6993.25,6994.50,6989.00,6992.50,2084
2/3/2026,21:15:00,6992.25,6995.75,6990.25,6994.25,1654
2/3/2026,21:30:00,6994.25,6995.75,6990.50,6994.00,3129
2/3/2026,21:45:00,6994.00,6999.25,6993.75,6996.00,2577
2/3/2026,22:00:00,6995.75,6997.00,6992.00,6996.50,2681
2/3/2026,22:15:00,6996.75,6997.75,6995.00,6996.75,1077
2/3/2026,22:30:00,6996.50,6996.75,6993.50,6995.00,890
2/3/2026,22:45:00,6995.00,6998.25,6995.00,6997.00,897
2/3/2026,23:00:00,6997.25,6997.50,6994.00,6995.50,792
2/3/2026,23:15:00,6995.75,6996.75,6993.25,6993.50,1371
2/3/2026,23:30:00,6993.75,6996.50,6993.50,6995.25,562
2/3/2026,23:45:00,6995.50,6995.75,6991.50,6994.75,1004
2/4/2026,00:00:00,6994.75,6998.50,6994.75,6998.25,891
2/4/2026,00:15:00,6998.50,7003.00,6997.00,7001.25,2006
2/4/2026,00:30:00,7001.75,7002.25,6997.00,7000.50,1607
2/4/2026,00:45:00,7000.50,7005.50,6999.25,7005.25,2517
2/4/2026,01:00:00,7005.50,7008.75,7004.00,7005.00,2906
2/4/2026,01:15:00,7005.00,7009.25,7004.00,7008.25,2023
2/4/2026,01:30:00,7008.25,7009.25,7007.25,7008.00,1000
2/4/2026,01:45:00,7008.00,7009.75,7005.00,7009.25,1752
2/4/2026,02:00:00,7009.25,7010.75,7007.75,7008.50,1410
2/4/2026,02:15:00,7008.50,7009.75,7000.00,7008.25,5517
2/4/2026,02:30:00,7008.25,7008.75,6992.25,6993.00,5971
2/4/2026,02:45:00,6993.00,7000.00,6990.75,6999.75,5432
2/4/2026,03:00:00,7000.25,7000.50,6993.25,6996.25,2963
2/4/2026,03:15:00,6996.00,7000.00,6991.25,6992.25,3820
2/4/2026,03:30:00,6992.25,6993.00,6983.75,6987.75,6913
2/4/2026,03:45:00,6987.50,6990.50,6982.25,6985.25,3904
2/4/2026,04:00:00,6985.50,6991.75,6984.25,6990.50,2908
2/4/2026,04:15:00,6990.25,6998.00,6988.50,6994.50,4048
2/4/2026,04:30:00,6994.25,6999.25,6993.75,6998.50,3262
2/4/2026,04:45:00,6998.75,7004.00,6997.75,6999.25,3542
2/4/2026,05:00:00,6999.50,7002.00,6997.00,6999.75,2085
2/4/2026,05:15:00,7000.00,7001.75,6997.00,6999.00,1839
2/4/2026,05:30:00,6999.00,7002.75,6997.50,7000.75,2272
2/4/2026,05:45:00,7000.75,7005.75,6999.50,7002.50,2595
2/4/2026,06:00:00,7002.50,7015.25,7002.50,7011.00,8788
2/4/2026,06:15:00,7011.00,7014.75,7004.75,7009.50,4629
2/4/2026,06:30:00,7009.50,7010.75,7003.25,7005.00,3103
2/4/2026,06:45:00,7005.00,7008.50,7000.00,7003.50,3554
2/4/2026,07:00:00,7003.50,7006.75,7000.00,7002.00,3762
2/4/2026,07:15:00,7002.00,7003.25,6996.00,6998.75,6060
2/4/2026,07:30:00,6999.50,7003.50,6997.25,7001.75,4851
2/4/2026,07:45:00,7001.75,7008.75,6998.00,7004.25,9817
2/4/2026,08:00:00,7004.00,7004.25,6994.25,6996.00,8345
2/4/2026,08:15:00,6996.00,6996.25,6990.50,6995.25,10797
2/4/2026,08:30:00,6995.25,7000.00,6991.25,6999.25,9669
2/4/2026,08:45:00,6999.00,7008.25,6985.25,7002.00,78324
2/4/2026,09:00:00,7001.75,7010.25,6973.50,6977.00,58549
2/4/2026,09:15:00,6977.00,6991.75,6960.25,6984.25,87006
2/4/2026,09:30:00,6984.50,7004.00,6978.75,6994.50,61937
2/4/2026,09:45:00,6994.50,6998.25,6968.50,6991.25,80252
2/4/2026,10:00:00,6991.25,6993.25,6977.25,6981.25,43101
2/4/2026,10:15:00,6981.25,6984.25,6960.75,6973.75,62635
2/4/2026,10:30:00,6973.75,6980.00,6959.00,6978.75,48662
2/4/2026,10:45:00,6978.75,6980.25,6948.75,6949.50,39501
2/4/2026,11:00:00,6949.25,6963.00,6938.25,6961.00,58870
2/4/2026,11:15:00,6960.75,6966.25,6953.50,6963.25,40079
2/4/2026,11:30:00,6962.75,6964.75,6927.00,6931.75,58773
2/4/2026,11:45:00,6931.75,6943.00,6914.75,6925.75,68465
2/4/2026,12:00:00,6926.00,6933.75,6912.25,6931.50,52123
2/4/2026,12:15:00,6931.50,6935.50,6918.00,6923.50,45050
2/4/2026,12:30:00,6923.50,6945.25,6918.50,6943.25,39511
2/4/2026,12:45:00,6943.25,6945.75,6926.00,6935.75,41449
2/4/2026,13:00:00,6935.75,6950.25,6926.50,6941.50,40862
2/4/2026,13:15:00,6941.50,6944.00,6928.50,6937.75,40058
2/4/2026,13:30:00,6937.50,6949.00,6936.25,6948.25,31521
2/4/2026,13:45:00,6948.25,6965.00,6947.75,6961.00,39084
2/4/2026,14:00:00,6960.75,6980.00,6958.25,6978.00,67056
2/4/2026,14:15:00,6977.75,6980.00,6962.50,6970.00,33224
2/4/2026,14:30:00,6970.25,6976.75,6966.00,6970.50,27208
2/4/2026,14:45:00,6970.50,6978.50,6968.00,6973.00,20068
2/4/2026,15:00:00,6973.25,6983.00,6951.50,6956.00,26841
2/4/2026,15:15:00,6956.50,6975.25,6940.50,6973.00,20927
2/4/2026,15:30:00,6972.75,6974.00,6961.50,6970.00,4778
2/4/2026,15:45:00,6970.00,6991.00,6969.50,6985.50,9585
2/4/2026,16:00:00,6985.50,6989.00,6978.25,6978.50,4326
2/4/2026,17:15:00,6966.50,6976.00,6964.25,6970.75,6840
2/4/2026,17:30:00,6970.75,6975.25,6969.25,6974.00,3117
2/4/2026,17:45:00,6974.00,6978.75,6967.75,6970.00,4770
2/4/2026,18:00:00,6970.00,6974.50,6963.50,6968.00,4029
2/4/2026,18:15:00,6968.00,6969.25,6961.25,6967.25,4852
2/4/2026,18:30:00,6967.25,6978.25,6967.00,6976.50,3712
2/4/2026,18:45:00,6976.75,6980.00,6974.25,6978.50,2847
2/4/2026,19:00:00,6978.50,6979.75,6974.25,6974.25,2439
2/4/2026,19:15:00,6974.50,6982.75,6973.25,6981.75,3865
2/4/2026,19:30:00,6981.75,6984.00,6974.25,6978.00,3883
2/4/2026,19:45:00,6978.25,6984.75,6977.00,6983.00,2943
2/4/2026,20:00:00,6983.25,6984.50,6979.00,6980.75,2038
2/4/2026,20:15:00,6981.25,6982.50,6957.75,6958.25,8123
2/4/2026,20:30:00,6958.50,6966.50,6948.50,6965.00,10925
2/4/2026,20:45:00,6965.00,6971.25,6963.75,6967.50,5283
2/4/2026,21:00:00,6967.25,6968.25,6945.25,6946.50,8654
2/4/2026,21:15:00,6946.50,6956.50,6944.25,6954.50,7412
2/4/2026,21:30:00,6954.25,6959.00,6950.00,6954.50,4750
2/4/2026,21:45:00,6955.00,6956.00,6946.00,6951.75,5219
